1,什么是边缘原生应用准则白皮书？,边缘原生应用准则白皮书是物联网边缘工作组（IOT Edge Working Group）发布的一个文件，探索边缘原生的定义，以及“云原生”和“边缘原生”之间的异同。
2,DCE 5.0 社区版包含哪些开源项目？,"DCE 社区版包含的开源软件有：\n\ncloudtty：Kubernetes 网页版控制台，易于使用\nClusterpedia：Kubernetes 多集群资源百科全书，已入选 CNCF 沙箱孵化，中国移动等已部署至生产\nFerry：Kubernetes 多集群通信组件，消除多集群复杂度\nHwameiStor：高可用的本地存储方案，更快、更强、更可靠，已入选 CNCF 全景图，正在申请 Sandbox\nKLTS：对 k8s（最新版本 - 0.03）等 10 多个版本的持续维护\nKubean：容器化集群的全生命周期管理工具，正在申请 Landscape\nKWOK：模拟成千上万的 kubelet\nMerbridge：使用 eBPF 加速服务网格，已入选 CNCF 全景图和 Sandbox\nSpiderpool：云原生网络 IPAM 自动化管理软件，建议作为插件用于 Underlay CNI，正在申请 Landscape 和 Sandbox\n公开镜像加速：加速国外镜像的下载\n以上只是 ""DaoCloud 道客"" 技术的冰山一角，还有更多项目。"
3,KWOK 是什么？,KWOK 是 Kubernetes WithOut Kubelet 的缩写，帮助用户在几秒钟内搭建一个由数千个节点构成的集群，用少量资源模拟几千个真实的节点。
4,Karmada 是用于什么场景的项目？,Karmada 是用于多云和混合云场景中的项目，可以实现应用跨数据中心、跨可用区和跨集群高可用。
5,VictoriaMetrics 是什么？,VictoriaMetrics 是一个快速、经济高效且可扩展的监控解决方案和时间序列数据库，通常与 Prometheus+AlertManager+Grafana 一套解决方案搭配使用。
6,Kubernetes 1.27 中增加了多少个 enhancements？,Kubernetes 1.27 中增加了 60 个 enhancements。
7,Cilium 是如何实现 socket 层加速效果的？,Cilium 基于 eBPF 技术实现 socket 层加速效果。eBPF 技术通过映射存储 socket 信息，利用帮助函数实现将数据包重定向到对端 socket 层的能力。
8,KLTS 是什么？,KLTS (Kubernetes Long Term Support) 是 DaoCloud 自主维护的 Kubernetes 长期支持版本，旨在为企业提供更加稳定和可靠的 Kubernetes 部署选择。
9,什么是 Chaos Mesh？,Chaos Mesh 是一个云原生混沌工程实践项目，旨在为 Kubernetes 应用提供完整的混沌测试方案。它可以帮助用户模拟各种故障场景，例如网络中断、应用崩溃和节点失效等。
10,什么是 Security Profiles Operator (SPO)？,Security Profiles Operator (SPO) 是一个 Kubernetes Operator，可以简化 seccomp、SELinux 和 AppArmor 配置文件的管理。它可以从头开始记录这些配置文件，通常涉及与大型 CI/CD 系统集成。
11,如何使用 Chaos Mesh？,安装好 Chaos Mesh 后，需要安装并授权账户，登录后可以执行混沌测试场景。具体使用可以参考官方文档。
12,如何制作 pv 和 pvc？,"创建一个 PersistentVolumeClaim（PVC）并定义要使用的存储量，以及创建一个 PersistentVolume（PV）以适应 PVC 中定义的存储量。示例如下：\n```yaml\napiVersion: v1\nkind: PersistentVolumeClaim\nmetadata:\nname: mysql-pv-claim\nlabels:\napp: mysql\nspec:\naccessModes:\n- ReadWriteOnce\nresources:\nrequests:\nstorage: 20Gi\napiVersion: v1\nkind: PersistentVolume\nmetadata:\nname: my-pv-volume\nspec:\ncapacity:\nstorage: 20Gi # 这里是环境变量大小 \nvolumeMode : Filesystem # 就是文件系统的模式 \n​ accessModes :\n- ReadWriteOnce# 就是表示只能单机读写 \n​ hostPath :\n​ path : /data/mysqldata# 这个就是挂载到宿主机上路径 \n​ type : """" # 这里是类型，没有就不写 \n```"
13,如何安装 nfs server？,NFS 服务器可以安装并启用，使用以下命令：\n```\nsudo dnf install nfs-utils\nsudo systemctl enable --now nfs-server\n```
14,什么是 Chaos Mesh？,Chaos Mesh 是一个云原生的混沌工程平台，可以模拟和测试生产环境中的各种故障和故障恢复场景，以提高应用程序的健壮性和稳定性。
15,如何修改 seccomp 配置文件并测试更改后的结果？,可以使用 `jq` 命令修改 JSON 格式的配置文件，然后使用 `-p [profile file]` 标志指定新的配置文件路径运行应用程序进行测试，例如： `sudo ./spoc run -p /tmp/no-uname-profile.json ./main`.
16,如何使用 `spoc run` 运行 seccomp 配置文件？,使用命令 `sudo ./spoc run [binary file]` 可以运行应用程序的 seccomp 配置文件，并通过日志提示哪些系统调用被阻止或允许。
17,如何使用 `spoc` 生成原始的 seccomp 配置文件？,使用 `--type`/`-t` `raw-seccomp` 标志可以生成原始的 seccomp 配置文件（格式为 JSON），例如： `sudo ./spoc record --type raw-seccomp ./main`
18,`spoc` 是什么？它有哪些功能？,`spoc` 是一个实用程序，用于记录和测试 seccomp 配置文件。它支持生成原始的 seccomp 配置文件，并可以修改配置文件并使用 `spoc run` 进行测试。
19,Security Profiles Operator 是什么？,Security Profiles Operator 是一个 Kubernetes 运算符，它支持在 Kubernetes 中集中管理各种安全配置文件。
20,如何使用 spoc 运行已应用了 seccomp 配置文件的二进制文件？,使用 `spoc` 命令行工具的 `run` 子命令，例如 `sudo ./spoc run ./main`，其中 `main` 是已应用了 seccomp 配置文件的应用程序二进制文件。可以使用 `--profile/-p` 标志指定配置文件位置。
21,如何禁用或自定义生成的 seccomp 配置文件中的基本系统调用？,可以在 `spoc record` 中使用 `--no-base-syscalls/-n` 标志禁用基本系统调用，或使用 `--base-syscalls/-b` 命令行标志进行自定义。
22,如何使用 spoc 记录 seccomp 配置文件？,使用 `spoc` 命令行工具的 `record` 子命令，例如 `sudo ./spoc record ./main`，其中 `main` 是需要记录 seccomp 配置文件的应用程序二进制文件。
23,Security Profiles Operator 的关键特性之一是什么？,从头开始记录 seccomp、SELinux 和 AppArmor 配置文件是该 Operator 的关键特性之一。
24,什么是 Security Profiles Operator？,Security Profiles Operator 是一个功能丰富的 Kubernetes Operator，可以简化 seccomp、SELinux 和 AppArmor 配置文件的管理。
25,什么是云原生全景图？它有什么作用？,云原生全景图是由 CNCF 维护的一个汇总了社区成熟和使用范围较广、具有最佳实践的产品和方案，并加以分类的参考图谱。它为企业构建云原生体系提供了参考，在云计算研发、运维等领域具有广泛的影响力。
26,什么是 CNCF？它的作用是什么？,CNCF 全称 Cloud Native Computing Foundation（云原生计算基金会），它致力于培育和维护一个厂商中立的开源生态系统，推广云原生技术，使其更加普及和成熟。
27,什么是可观测性？在云原生领域中有什么作用？,可观测性是指主动观测应用关联的各类数据，以实现全面监控和故障排查。在云原生领域中，可观测性成为了最热门话题之一，能够取代传统的系统监控，为云原生应用带来更好的管理和运维体验。
28,DaoCloud Enterprise 5.0 的研发背景是什么？,DaoCloud Enterprise 5.0 是新一代云原生操作系统，其研发背景主要是为了满足云原生应用快速部署、运维、管理的需求。
29,Merbridge CNI 模式的出现解决了哪些问题？,Merbridge CNI 模式的出现能够更好地适配服务网格的功能，解决了无法适配注入 Istio 的 Sidecar Annotation、无法排除某些端口或 IP 段流量以及无法处理外部发送到 Pod 的流量等问题。
30,KubeCon + CloudNativeCon Europe 2022 上有哪些热门云原生开源项目？,KubeCon + CloudNativeCon Europe 2022 上涌现了许多热门的云原生开源项目，包括 Istio、Kubernetes、Prometheus、Envoy、Harbor 等。
31,CloudTTY 是什么？它解决了哪些问题？,CloudTTY 是一个基于 kubernetes 的云原生开源项目，解决了网页命令行在权限控制下的一系列功能需求。
32,什么是 Clusterpedia？它的作用是什么？,Clusterpedia 是一个开源项目，可以通过 kubectl 对多个集群进行资源复杂检索，它的主要作用是在多云环境下进行信息检索。
33,KubeCon + CloudNativeCon Europe 2022 是什么活动？该活动上有哪些热门云原生开源项目？,KubeCon + CloudNativeCon Europe 2022 是全球顶级的云原生旗舰会议。该活动上涉及了许多热门云原生开源项目，例如 Cluster-api、Karmada/Clusternet 等。
34,"""云边协同超融合一体机"" 是由哪两个公司联合推出的？它的目标是什么？","""云边协同超融合一体机"" 是由华为和上海道客网络科技有限公司联合推出的。它的目标是将云原生能力下沉至边缘，提供实时的虚拟数字世界体验，实现真正的云边一体化元宇宙。"
35,CloudTTY 是什么？它基于哪个平台？,CloudTTY 是一个基于 Kubernetes 平台的云原生开源项目，解决了一系列集群之上的 “网页命令行” 权限控制下的功能需求。
36,Clusterpedia 是什么？它解决了什么问题？,Clusterpedia 是一个 CNCF 沙箱项目，用于跨集群复杂的资源检索。它解决多集群内部资源管理和检索越来越复杂，多云管理面临巨大挑战等问题。
37,Merbridge 被收录在 CNCF 的哪个象限中？它为什么推出了 CNI 模式？,Merbridge 被收录在 CNCF 云原生全景图中的 Orchestration & Management（编排与管理）层的 Service Mesh（服务网格）象限。Merbridge 推出了 CNI 模式是为了更好地适配服务网格的功能，以便更好地处理 Pod 内部和外部的流量。
38,DCE  提供了哪些模块的能力介绍？,DaoCloud Enterprise 5.0 是一款高性能可扩展的云原生操作系统，具有以下主要特点和优势：\n\n多云编排：支持跨云资源检索、多云的应用部署、发布和运维能力，助力企业构建多云、混合云的数字基础设施。\n数据中间件服务：为有状态应用设计的云原生本地存储能力，提供中间件管理能力，实现数据服务的自助化申请、弹性扩展、高并发处理和稳定高可用。\n微服务治理：提供非侵入式流量治理功能，实现全生命周期管理，保证微服务应用的连续可用性。\n可观测性：基于日志、链路、指标、eBPF 等技术手段，全面采集服务数据，通过统一控制面实现所有集群及负载观测数据的查询，实现秒级故障定位。\n应用商店：收录来自大数据、AI、中间件等十大领域生态伙伴的软件产品，提供开箱即用的生态应用软件，打造完整的解决方案体系。\n应用交付：通过自助式上云、柔性租户体系、自动化完成应用的构建、部署等方式，实现应用更精细的管理运维。\n信创异构：兼容国产芯片及服务器，支持信创操作系统及信创应用生态体系，保证信创应用运行环境的稳定高可靠。\n云边协同：将云原生能力延伸至边缘，解决在海量边、端设备上统一完成大规模应用交付、运维、管控的诉求，实现云边的真正一体化。\n云原生底座：提供云原生计算、网络、存储等能力，突破 K8s API 性能瓶颈，实现企业超大规模用户并发使用多集群。
39,「DaoCloud 道客」主办了哪个活动？该活动主要分享了哪方面内容？,「DaoCloud 道客」主办了「论道原生｜云原生数字生态私享会・上海」活动。该活动从云原生思维和技术出发，分享了云原生在医疗和人工智能方面的应用与实践。
40,Kubean 是什么？它采用什么作为底层技术依赖？,Kubean 是一个集群生命周期管理工具。它采用 Kubespray 作为底层技术依赖。
41,什么是云原生本地存储系统 HwameiStor？它在哪个 CNCF 云原生全景图象限中被收录？,HwameiStor 是「DaoCloud 道客」自主开源的云原生本地存储系统。它被收录在 CNCF 云原生全景图中的 RunTime（运行时）层的 Cloud Native Storage（云原生存储）象限。
42,什么是 CNCF？,CNCF（云原生计算基金会，Cloud Native Computing Foundation）是一个致力于推广云原生技术的非营利性组织，旨在通过开源项目的方式推动云原生技术的发展和普及。
43,如何拉取依赖镜像（国内加速 🚀）？,执行以下命令 pull 依赖的
44,如何拉取依赖镜像（默认）？,执行以下命令 pull 依赖的镜像：\n```bash\nVERSION=1.18.20-lts.2\nREPOS=ghcr.io/klts-io/kubernetes-lts\nkubeadm config images pull --image-repository ${REPOS} --kubernetes-version v${VERSION}\n```
