question,answer,source
How to display audit logs?,"Audit logs can be viewed, listed, cleaned, or exported.",
How to set up authentication in user and access control?,APIServer/SDK authentication settings can be performed.,
How to register GProduct resource quota in the workspace?,GProduct resource quotas can be registered in the workspace.,
How to manage resource quotas in a workspace?,"You can create, edit, delete, view, list, and calculate allocated resource quotas.",
How to deal with unpopulated or incorrect license situations?,Missing or wrong cases can be handled in the license.,
How to get the ESN serial number in the license?,The ESN serial number can be obtained in the license.,
What new features are added in Global Management v0.11.0?,"Added the function of adding, deleting, modifying and checking in-site messages, supporting SMTP mail server settings, supporting user role permission management CRUD, workspace -> life cycle management (create/edit/delete/view/list), audit log -> display (view/ List/cleanup settings/export), identity provider -> docking with LDAP -> user/user group synchronization settings and many other functions.",
What issues are fixed in Global Management v0.11.2?,Turn off the resource group binding cluster function and fix the problem of being unable to create a workspace when there is no workspace.,
What new features are added in Global Management v0.12.0?,"The ""Module"" in the resource group has been changed to ""Source"", the SDK provides binding change notifications for Workspace and Resource, complete integration of Insight metrics and hotel tracing, and Keycloak has been changed to ""Source"".",
What aspects have been optimized in Global Management v0.12.1?,"Pure offline packages are automatically built through CI, and GHippo upgrade documentation is optimized.",
What new features are added in Global Management v0.13.0?,"Added support for deploying a national secret gateway in front of DCE 5.0 and using the national secret browser to access DCE 5.0, supporting the ability to include multiple GProducts in one license, and the ability to bind cluster type resources to resource groups.",
What issues are fixed in Global Management v0.13.2?,"The interface has been supplemented with English copy that lacks permission descriptions, and has fixed an issue where errors may be reported due to database encoding when updating database tables.",
What functions have been added to Global Management v0.14.0?,"Added platform settings->Appearance customization->Advanced customization->Login page customization and post-login page customization, and supports keycloak quarkus architecture running in a dual-stack environment.",
What new features are added in Global Management v0.15.0?,"Added functions such as custom role functions (create/edit/delete/view/list), support for GProduct permission points and custom role function docking, and lost cluster resource processing.",
What features have been added to Global Management v0.16.0?,"Added LDAP support for AD, LDAP support for more parameters, support for modifying the background image of the login page, support for modification of the filing information at the bottom of the homepage and login page, access management - access to client API, reverse generation URL, support for adding Path in front, audit log SDK Directly call functions such as AuditServer API.",
What issues are fixed in Global Management v0.16.1?,Fixed the problem of excessive CPU usage caused by an infinite loop and the problem of incomplete export of audit logs.,
Does the report management module support enabling and disabling?,"Yes, each report supports enabling and disabling, and after disabling, the data collected in the past period will be displayed normally.",
What kinds of reports does the report management module provide?,"The report management module provides the following reports: cluster reports, node reports, Pod reports, workspace reports, namespace reports, audit reports and alarm reports.",
"In step six, why do you need to restart the global management Pod?","Because the modified configuration needs to be reloaded to take effect, restarting the global management Pod can make the modified configuration take effect.",
"In step four, how do you edit and save the file?",You can use the `vim` command to edit and save.,
What is the purpose of a reverse proxy server address?,"The reverse proxy server address is the address used to access the DCE global management service through the reverse proxy, which can implement request forwarding and load balancing functions.",
How to set the DCE 5.0 reverse proxy server address?,You can set it through the following steps:\n1. Set environment variables for easy use below. \n2. Update the global management Helm repository. \n3. Back up --set parameters. \n4. Add your reverse proxy address. \n5. Execute `helm upgrade` to make the configuration take effect. \n6. Use `kubectl` to restart the global management Pod to make the configuration take effect.,
What is DCE global management?,"DCE global management is a central control platform that integrates user management, application deployment, global configuration, load balancing and other functions.",
What are resources?,"Resources generally refer to resources created through various sub-modules on the DCE platform, and are specific data for completing authorization. Typically, a resource describes one or more operation objects, and each submodule has its own resource and corresponding resource definition details. Such as cluster, namespace, gateway, etc.",
How to authorize and manage resources in the service grid?,"Users can manage resources in the service grid through the Admin role, or bind resources (Mesh or Mesh-Namespace) to the workspace, so that users or user groups can obtain permissions for resources in the service grid through the workspace and be bound. Resources added to the workspace will be displayed in the resource group of the workspace. Currently, only the service grid module provides resource binding entry.",
